smiles,IC50,lgIC50
CCn1c(c2CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](Cc3cccc(c3)-c3ccc1c2c3)NC(=O)[C@H](C(C)C)N(C)C(=O)C1(F)CCN(CC1)C(=O)C#CC(C)(C)N(C)C)-c1cccnc1[C@H](C)OC,10.0,1.0
CC[C@@H](COC1CN(C1)C(=O)C#CC(C)(C)N(C)C)C(=O)N[C@H]1Cc2nc(cs2)-c2ccc3n(CC)c(c(CC(C)(C)COC(=O)[C@@H]4CCCN(N4)C1=O)c3c2)-c1cccnc1[C@H](C)OC,10.0,1.0
CO[C@@H](C)c1ncccc1-c1c2CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](Cc3ncc(o3)-c3ccc(n1CC(F)(F)F)c2c3)NC(=O)[C@H](C(C)C)N(C)C(=O)[C@H]1CCN(C1)C(=O)C#CC(C)(C)N(C)C,10.0,1.0
CO[C@@H](C)c1ncccc1-c1c2CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](Cc3nc(cs3)-c3ccc(n1CC(F)(F)F)c2c3)NC(=O)[C@H](C(C)C)N(C)C(=O)N(C)C1CN(C1)C(=O)C=C,10.0,1.0
CCn1c(c2CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](Cc3nc(cs3)-c3ccc1c2c3)NC(=O)[C@@H](COC1CN(C1)C(=O)C#CC(C)(C)N(C)C)C(C)C)-c1cccnc1C(C)OC,10.0,1.0
CCn1c(c2CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](C[C@H]3CN(CCO3)c3ccc1c2c3)NC(=O)[C@H](C(C)C)N(C)C(=O)[C@@]1(F)CCC(C1)C(=O)C#CC(C)(C)N1CCC1)-c1cccnc1C(C)OC,10.0,1.0
CO[C@@H](C)c1ncccc1-c1c2CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](Cc3cccc(c3)-c3ccc(n1CC(F)(F)F)c2c3)NC(=O)[C@H](C(C)C)N(C)C(=O)[C@H]1CCN(C1)C(=O)C#CC(C)(C)N(C)C,10.0,1.0
CCn1c(c2CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](Cc3cccc(c3)-c3ccc1c2c3)NC(=O)[C@H](C(C)C)N1CC[C@]2(CCN(C2)C(=O)C#CC(C)(C)N(C)C)C1=O)-c1cccnc1[C@H](C)OC,10.0,1.0
CO[C@@H](C)c1ncc(cc1-c1c2CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](Cc3cccc(c3)-c3ccc(n1CC(F)(F)F)c2c3)NC(=O)[C@H](C(C)C)N(C)C(=O)C1(F)CCN(CC1)C(=O)C#CC(C)(C)N(C)C)N1CCN(C)CC1,10.0,1.0
CCn1c(c2CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](Cc3nc(cs3)-c3ccc1c2c3)NC(=O)[C@H](C(C)C)N(C)C(=O)N1C[C@H]2OCCN([C@@H]2C1)C(=O)C=C)-c1cccnc1[C@H](C)OC,10.0,1.0
CCn1c(c2CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](Cc3nc(cs3)-c3ccc1c2c3)NC(=O)[C@H](C(C)C)N(C)C(=O)N1C[C@@H]2OCCN([C@H]2C1)C(=O)C=C)-c1cccnc1[C@H](C)OC,10.0,1.0
CCn1c(c2CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](Cc3cccc(c3)-c3ccc1c2c3)NC(=O)[C@H](C(C)C)N1CC[C@@]2(CCN(C2)C(=O)C#C[C@@H]2COCCN2C)C1=O)-c1cccnc1[C@H](C)OC,10.0,1.0
CCn1c(c2CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](C[C@@]3(C)CN(CCO3)c3ccc1c2c3)NC(=O)[C@H](C(C)C)N(C)C(=O)C1(F)CCN(CC1)C(=O)C#CC(C)(C)N(C)C)-c1cccnc1[C@H](C)OC,10.0,1.0
CCn1c(c2CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](Cc3cccc(c3)-c3ccc1c2c3)NC(=O)[C@H](C(C)C)N1CC[C@@]2(CCN(C2)C(=O)C#C[C@H]2COCCN2C)C1=O)-c1cccnc1[C@H](C)OC,10.0,1.0
CC[C@@H](N(C)C(=O)C1CN(C1)C(=O)C#CC(C)(C)N(C)C)C(=O)N[C@H]1Cc2cccc(c2)-c2ccc3n(CC(F)(F)F)c(c(CC(C)(C)COC(=O)[C@@H]4CCCN(N4)C1=O)c3c2)-c1cccnc1[C@H](C)OC,10.0,1.0
CO[C@@H](C)c1ncccc1-c1c2CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](Cc3nc(-c4ccc(n1CC(F)(F)F)c2c4)n(C)n3)NC(=O)[C@H](C(C)C)N(C)C(=O)C1(F)CCN(CC1)C(=O)C#CC(C)(C)N(C)C,10.0,1.0
CO[C@@H](C)c1ncccc1-c1c2CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](Cc3coc(n3)-c3ccc(n1CC(F)(F)F)c2c3)NC(=O)[C@H](C(C)C)N(C)C(=O)C1(F)CCN(CC1)C(=O)C#CC(C)(C)N(C)C,10.0,1.0
CO[C@@H](C)c1ncccc1-c1c2CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](Cc3coc(n3)-c3ccc(n1CC(F)(F)F)c2c3)NC(=O)[C@H](COC1CN(C1)C(=O)C#CC(C)(C)N(C)C)OC,10.0,1.0
CCn1c(c2CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](C[C@@H]3CCCN(C3)c3ccc1c2c3)NC(=O)[C@H](C(C)C)N(C)C(=O)C1(F)CCN(CC1)C(=O)C#CC(C)(C)N(C)C)-c1cccnc1[C@H](C)OC,55.0,1.7403626894942439
CCn1c(c2CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](C[C@@H]3CCCN(C3)c3ccc1c2c3)NC(=O)[C@H](C(C)C)N(C)C(=O)[C@H]1CCN(C1)C(=O)C#CC(C)(C)N1CCC1)-c1cccnc1C(C)OC,55.0,1.7403626894942439
CCn1c(c2CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](Cc3nc(cs3)-c3ccc1c2c3)NC(=O)[C@H](C(C)C)N(C)C(=O)N1CCC(CCN(C)C(=O)C=C)CC1)-c1cccnc1[C@H](C)OC,55.0,1.7403626894942439
CCn1c(c2CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](Cc3nc(cs3)-c3ccc1c2c3)NC(=O)[C@H](C(C)C)N(C)C(=O)N1CCC2(CN(C2)C(=O)\C=C\CF)CC1)-c1cccnc1[C@H](C)OC,55.0,1.7403626894942439
CCn1c(c2CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](Cc3nc(cs3)-c3ccc1c2c3)NC(=O)[C@H](C(C)C)N(C)C(=O)N1C[C@H]2CN(CC[C@@H]12)C(=O)C#CC(C)(C)N(C)C)-c1cccnc1[C@H](C)OC,55.0,1.7403626894942439
CCn1c(c2CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](Cc3nc(cs3)-c3ccc1c2c3)NC(=O)[C@H](C(C)C)N(C)CN1CCC(CN(C)C(=O)C=C)CC1)-c1cccnc1[C@H](C)OC,55.0,1.7403626894942439
CCn1c(c2CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](Cc3nc(cs3)-c3ccc1c2c3)NC(=O)[C@H](C(C)C)N(C)C(=O)N1C[C@H](F)[C@H](C1)N(C)C(=O)C=C)-c1cccnc1[C@H](C)OC,55.0,1.7403626894942439
CCn1c(c2CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](Cc3nc(cs3)-c3ccc1c2c3)NC(=O)[C@H](C(C)C)N(C)C(=O)N1C[C@@H](C[C@H]1C)N(C)C(=O)C=C)-c1cccnc1[C@H](C)OC,55.0,1.7403626894942439
CCn1c(c2CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](Cc3cccc(c3)-c3ccc1c2c3)NC(=O)[C@H](C(C)C)N(C)C(=O)[C@]1(F)CN(C[C@@H]1F)C(=O)C=C)-c1cccnc1[C@H](C)OC,55.0,1.7403626894942439
CCn1c(c2CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](Cc3cccc(c3)-c3ccc1c2c3)NC(=O)[C@H](C(C)C)N(C)C(=O)[C@H]1CN(C[C@H]1C(F)(F)F)C(=O)C=C)-c1cccnc1[C@H](C)OC,55.0,1.7403626894942439
CO[C@@H](C)c1ncc(cc1-c1c2CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](Cc3csc(n3)-c3ccc(n1CC(F)(F)F)c2c3)NC(=O)[C@H](C(C)C)N(C)C(=O)[C@H]1CCN(C1)C(=O)C=C)N1CCN(C)CC1,55.0,1.7403626894942439
CCn1c(c2CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](Cc3nc(cs3)-c3ccc1c2c3)NC(=O)[C@H](C(C)C)N(C)C(=O)N1CC[C@H](C1)N(C)C(=O)C=C)-c1cccnc1[C@H](C)OC,55.0,1.7403626894942439
CCn1c(c2CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](Cc3nc(cs3)-c3ccc1c2c3)NC(=O)[C@H](C(C)C)N(C)C(=O)N1CCN(C(=O)C=C)C2(CC2)C1)-c1cccnc1[C@H](C)OC,55.0,1.7403626894942439
CCn1c(c2CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](Cc3nc(cs3)-c3ccc1c2c3)NC(=O)[C@H](C(C)C)N(C)C(=O)N1C[C@H](C)N(C[C@H]1C)C(=O)C=C)-c1cccnc1[C@H](C)OC,55.0,1.7403626894942439
CCn1c(c2CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](Cc3nc(cs3)-c3ccc1c2c3)NC(=O)[C@H](C(C)C)N(C)C(=O)N1CCN(C[C@@H]1C)C(=O)C=C)-c1cccnc1[C@H](C)OC,55.0,1.7403626894942439
CO[C@@H](C)c1ncccc1-c1c2CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](Cc3nnc(o3)-c3ccc(n1CC(F)(F)F)c2c3)NC(=O)[C@H](C(C)C)N(C)C(=O)[C@H]1CCN(C1)C(=O)C#CC(C)(C)N1CCC1,55.0,1.7403626894942439
CCn1c(c2CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](Cc3nc(cs3)-c3ccc1c2c3)NC(=O)[C@H](C(C)C)N(C)C(=O)N1CCN([C@H](C)C1)C(=O)C=C)-c1cccnc1[C@H](C)OC,55.0,1.7403626894942439
CCn1c(c2CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](Cc3nc(cs3)-c3ccc1c2c3)NC(=O)[C@H](C(C)C)N(C)C(=O)N1CCN([C@@H](C)C1)C(=O)C=C)-c1cccnc1[C@H](C)OC,55.0,1.7403626894942439
CCn1c(c2CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](Cc3nc(cs3)-c3ccc1c2c3)NC(=O)[C@H](C(C)C)N(C)C(=O)N(C)C1CN(C1)C(=O)C=C)-c1cccnc1[C@H](C)OC,55.0,1.7403626894942439
CCn1c(c2CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](Cc3nc(cs3)-c3ccc1c2c3)NC(=O)[C@H](C(C)C)N(C)C(=O)N1CCCN(CC1)C(=O)C=C)-c1cccnc1[C@H](C)OC,55.0,1.7403626894942439
CCO[C@@H](C)c1ncccc1-c1c2CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](Cc3nc(cs3)-c3ccc(n1CC)c2c3)NC(=O)[C@H](C(C)C)N(C)C(=O)N(C)CCN(C)C(=O)C=C,55.0,1.7403626894942439
CCn1c(c2CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](Cc3nc(cs3)-c3ccc1c2c3)NC(=O)[C@H](C(C)C)N(C)C(=O)N(C)CCNC(=O)C=C)-c1cccnc1[C@H](C)OC,55.0,1.7403626894942439
CCn1c(c2CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](Cc3csc(n3)-c3ccc1c2c3)NC(=O)[C@H](C1CCCC1)N(C)C(=O)[C@H]1CCN(C1)C(=O)C#CC(C)(C)N1CCC1)-c1cccnc1[C@H](C)OC,55.0,1.7403626894942439
CCn1c(c2CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](Cc3csc(n3)-c3ccc1c2c3)NC(=O)[C@H](C(C)C)N(C)C(=O)[C@H]1CCN(C1)C(=O)C#CC(C)(C)N1CCC1)-c1cccnc1[C@H](C)OC,55.0,1.7403626894942439
CCn1c(c2CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](Cc3cccc(c3)-c3ccc1c2c3)NC(=O)[C@H](C(C)C)N(C)C(=O)[C@]1(CCN(C1)C(=O)C=C)C#N)-c1cccnc1[C@H](C)OC,55.0,1.7403626894942439
CCn1c(c2CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](Cc3cccc(c3)-c3ccc1c2c3)NC(=O)[C@H](C(C)C)N(C)C(=O)[C@@]1(CCN(C1)C(=O)C=C)C#N)-c1cccnc1[C@H](C)OC,55.0,1.7403626894942439
CCn1c(c2CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](Cc3cccc(c3)-c3ccc1c2c3)NC(=O)[C@H](C(C)C)N(C)C(=O)OC1CN(C1)C(=O)C=C)-c1cccnc1[C@H](C)OC,55.0,1.7403626894942439
CCn1c(c2CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](Cc3cccc(c3)-c3ccc1c2c3)NC(=O)CCOC1CN(C1)C(=O)C#CC(C)(C)N(C)C)-c1cccnc1C(C)OC,55.0,1.7403626894942439
CCn1c(c2CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](Cc3cccc(c3)-c3ccc1c2c3)NC(=O)[C@H](C(C)C)N1COC2(CN(C2)C(=O)C=C)C1=O)-c1cccnc1[C@H](C)OC,55.0,1.7403626894942439
CO[C@@H](C)c1ncccc1-c1c2CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](Cc3csc(n3)-c3ccc(n1CC(F)(F)F)c2c3)NC(=O)[C@H](C(C)C)N(C)C(=O)[C@H]1CCN(C1)C(=O)C#CC(C)(C)N1CCC1,55.0,1.7403626894942439
CCn1c(c2CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](Cc3cc(cc(c3)-c3ccc1c2c3)C(F)F)NC(=O)[C@H](C1CCCC1)N(C)C(=O)[C@H]1CCN(C1)C(=O)C#CC(C)(C)N1CCC1)-c1cccnc1[C@H](C)OC,55.0,1.7403626894942439
CCn1c(c2CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](Cc3cccc(c3)-c3ccc1c2c3)NC(=O)[C@H](C(C)C)N(C)C(=O)[C@@H]1CN(CC1(C)C)C(=O)C=C)-c1cccnc1[C@H](C)OC,55.0,1.7403626894942439
CCn1c(c2CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](Cc3cccc(c3)-c3ccc1c2c3)NC(=O)[C@H](C(C)C)N1COC2(CCN(C2)C(=O)C=C)C1=O)-c1cccnc1[C@H](C)OC,55.0,1.7403626894942439
CCn1c(c2CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](Cc3nc(cs3)-c3ccc1c2c3)NC(=O)[C@H](C(C)C)N(C)C(=O)N1CC(C1)N(C)C(=O)C=C)-c1cccnc1[C@H](C)OC,55.0,1.7403626894942439
CO[C@@H](C)c1ncccc1-c1c2CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](Cc3nc(cs3)-c3ccc(n1CC(F)(F)F)c2c3)NC(=O)[C@H](C(C)C)N(C)C(=O)N1CCN(CC1)C(=O)C=C,55.0,1.7403626894942439
CCn1c(c2CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](Cc3cc(cc(c3)-c3ccc1c2c3)C(F)F)NC(=O)[C@H](C(C)C)N(C)C(=O)[C@H]1CCN(C1)C(=O)C#CC(C)(C)N1CCC1)-c1cccnc1[C@H](C)OC,55.0,1.7403626894942439
CCn1c(c2CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](Cc3cccc(c3)-c3ccc1c2c3)NC(=O)[C@H](C(C)C)N(C)C(=O)C1CCN(C1)C(=O)C#CC(C)(C)N1CCC1)-c1cccnc1[C@H](C)OC,55.0,1.7403626894942439
CCn1c(c2CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](Cc3cccc(c3)-c3ccc1c2c3)NC(=O)CCOC1CN(C1)C(=O)C#CC(C)(C)N1CCC1)-c1cccnc1[C@H](C)OC,55.0,1.7403626894942439
CCn1c(c2CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](Cc3cccc(c3)-c3ccc1c2c3)NC(=O)[C@H](C(C)C)N(C)C(=O)[C@H]1CCN(C1)C(=O)\C=C\C(F)F)-c1cccnc1C(C)OC,55.0,1.7403626894942439
CCn1c(c2CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C(=O)[C@H](Cc3nc(cs3)-c3ccc1c2c3)NC(=O)[C@H](C)N(C)C(=O)[C@H]1CCN(C1)C(=O)C#CC(C)(C)N1CCC1)-c1cccnc1[C@H](C)OC,55.0,1.7403626894942439
